operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918659462|23|20|8
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918659486|98|100|8
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918659585|1320|39|8
LdbcSnbBiQuery14TopThreadInitiators|1602918420005|1602918660905|2073|100|8
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918662979|1076|100|8
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918664056|30351|100|8
LdbcSnbBiQuery13PopularMonthlyTags|1602918420005|1602918694408|262|33|8
LdbcSnbBiQuery5TopCountryPosters|1602918420005|1602918694670|153|100|8
LdbcSnbBiQuery1PostingSummary|1602918420005|1602918694824|1479|12|8
LdbcSnbBiQuery12TrendingPosts|1602918420005|1602918696304|1571|100|8
LdbcSnbBiQuery17FriendshipTriangles|1602918420005|1602918697875|5|1|8
LdbcSnbBiQuery7AuthoritativeUsers|1602918420005|1602918697881|1434|100|8
LdbcSnbBiQuery23HolidayDestinations|1602918420005|1602918699315|28|100|8
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918699344|536|100|8
LdbcSnbBiQuery15SocialNormals|1602918420005|1602918699880|2|1|8
LdbcSnbBiQuery9RelatedForums|1602918420005|1602918699883|611|22|8
LdbcSnbBiQuery2TopTags|1602918420005|1602918700495|150|1|8
LdbcSnbBiQuery8RelatedTopics|1602918420005|1602918700646|101|100|8
LdbcSnbBiQuery25WeightedPaths|1602918420005|1602918700747|7350|11|8
LdbcSnbBiQuery21Zombies|1602918420005|1602918708098|45|5|8
LdbcSnbBiQuery11UnrelatedReplies|1602918420005|1602918708144|1350|100|8
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918709495|3367|6|8
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918712862|11820|364|8
LdbcSnbBiQuery20HighLevelTopics|1602918420005|1602918724683|1096|3|9
LdbcSnbBiQuery18PersonPostCounts|1602918420005|1602918725780|11639|364|9
LdbcSnbBiQuery3TagEvolution|1602918420005|1602918737420|677|100|9
LdbcSnbBiQuery19StrangerInteraction|1602918420005|1602918738098|33483|100|9
LdbcSnbBiQuery6ActivePosters|1602918420005|1602918771581|139|100|9
LdbcSnbBiQuery10TagPerson|1602918420005|1602918771721|102|100|9
LdbcSnbBiQuery4PopularCountryTopics|1602918420005|1602918771823|25|20|9
LdbcSnbBiQuery24MessagesByTopic|1602918420005|1602918771849|1014|100|9
LdbcSnbBiQuery22InternationalDialog|1602918420005|1602918772863|1227|39|9
