operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcSnbBiQuery24MessagesByTopic|1602917812005|1602918331595|5767|100|3
LdbcSnbBiQuery3TagEvolution|1602917812005|1602918337362|614|100|3
LdbcSnbBiQuery23HolidayDestinations|1602917812005|1602918337977|61|100|3
LdbcSnbBiQuery3TagEvolution|1602917812005|1602918338039|554|100|4
LdbcSnbBiQuery23HolidayDestinations|1602917812005|1602918338593|52|100|4
LdbcSnbBiQuery9RelatedForums|1602917812005|1602918338645|651|29|4
LdbcSnbBiQuery15SocialNormals|1602917812005|1602918339297|3|0|4
LdbcSnbBiQuery21Zombies|1602917812005|1602918339300|55|6|4
LdbcSnbBiQuery6ActivePosters|1602917812005|1602918339356|135|100|4
LdbcSnbBiQuery12TrendingPosts|1602917812005|1602918339492|1626|100|4
LdbcSnbBiQuery14TopThreadInitiators|1602917812005|1602918341118|1602|100|4
LdbcSnbBiQuery25WeightedPaths|1602917812005|1602918342721|6670|10|4
LdbcSnbBiQuery11UnrelatedReplies|1602917812005|1602918349392|1495|100|4
LdbcSnbBiQuery4PopularCountryTopics|1602917812005|1602918350888|27|20|4
LdbcSnbBiQuery2TopTags|1602917812005|1602918350915|182|1|4
LdbcSnbBiQuery1PostingSummary|1602917812005|1602918351098|1549|12|4
LdbcSnbBiQuery18PersonPostCounts|1602917812005|1602918352647|12010|364|4
LdbcSnbBiQuery17FriendshipTriangles|1602917812005|1602918364658|8|1|4
LdbcSnbBiQuery19StrangerInteraction|1602917812005|1602918364666|30140|100|4
LdbcSnbBiQuery8RelatedTopics|1602917812005|1602918394807|140|100|4
LdbcSnbBiQuery24MessagesByTopic|1602917812005|1602918394948|5451|100|4
LdbcSnbBiQuery13PopularMonthlyTags|1602917812005|1602918400399|325|33|4
LdbcSnbBiQuery22InternationalDialog|1602917812005|1602918400724|1764|39|4
LdbcSnbBiQuery20HighLevelTopics|1602917812005|1602918402489|1468|3|4
LdbcSnbBiQuery10TagPerson|1602917812005|1602918403958|114|100|4
LdbcSnbBiQuery7AuthoritativeUsers|1602917812005|1602918404072|1488|100|4
LdbcSnbBiQuery5TopCountryPosters|1602917812005|1602918405561|166|100|4
LdbcSnbBiQuery7AuthoritativeUsers|1602917812005|1602918405727|1616|100|5
LdbcSnbBiQuery5TopCountryPosters|1602917812005|1602918407343|173|100|5
LdbcSnbBiQuery17FriendshipTriangles|1602917812005|1602918407517|7|1|5
LdbcSnbBiQuery12TrendingPosts|1602917812005|1602918407526|1597|100|5
